"","b","a","p","svar","epi","mod","h2"
"1",0.01,0.01,0,0.01,0.8,1,"0.94"
"2",0.5,0.01,0,0.01,0.8,1,"0.039"
"3",0.01,0.5,0,0.01,0.8,1,"0.032"
"4",0.5,0.5,0,0.01,0.8,1,"0.013"
"5",0.01,0.01,0.2,0.01,0.8,1,"0.06"
"6",0.5,0.01,0.2,0.01,0.8,1,"0.029"
"7",0.01,0.5,0.2,0.01,0.8,1,"0.026"
"8",0.5,0.5,0.2,0.01,0.8,1,"0.012"
"9",0.01,0.01,0,0.1,0.8,1,"1"
"10",0.5,0.01,0,0.1,0.8,1,"0.58"
"11",0.01,0.5,0,0.1,0.8,1,"0.89"
"12",0.5,0.5,0,0.1,0.8,1,"0.45"
"13",0.01,0.01,0.2,0.1,0.8,1,"0.97"
"14",0.5,0.01,0.2,0.1,0.8,1,"0.68"
"15",0.01,0.5,0.2,0.1,0.8,1,"0.92"
"16",0.5,0.5,0.2,0.1,0.8,1,"0.6"
"17",0.01,0.01,0,0.01,1,1,"0.95"
"18",0.5,0.01,0,0.01,1,1,"0.069"
"19",0.01,0.5,0,0.01,1,1,"0.055"
"20",0.5,0.5,0,0.01,1,1,"0.018"
"21",0.01,0.01,0.2,0.01,1,1,"0.095"
"22",0.5,0.01,0.2,0.01,1,1,"0.044"
"23",0.01,0.5,0.2,0.01,1,1,"0.038"
"24",0.5,0.5,0.2,0.01,1,1,"0.02"
"25",0.01,0.01,0,0.1,1,1,"1"
"26",0.5,0.01,0,0.1,1,1,"0.78"
"27",0.01,0.5,0,0.1,1,1,"0.98"
"28",0.5,0.5,0,0.1,1,1,"0.56"
"29",0.01,0.01,0.2,0.1,1,1,"1"
"30",0.5,0.01,0.2,0.1,1,1,"0.84"
"31",0.01,0.5,0.2,0.1,1,1,"0.89"
"32",0.5,0.5,0.2,0.1,1,1,"0.56"
"33",0.01,0.01,0,0.01,1.2,1,"0.98"
"34",0.5,0.01,0,0.01,1.2,1,"0.068"
"35",0.01,0.5,0,0.01,1.2,1,"0.079"
"36",0.5,0.5,0,0.01,1.2,1,"0.028"
"37",0.01,0.01,0.2,0.01,1.2,1,"0.13"
"38",0.5,0.01,0.2,0.01,1.2,1,"0.06"
"39",0.01,0.5,0.2,0.01,1.2,1,"0.057"
"40",0.5,0.5,0.2,0.01,1.2,1,"0.028"
