"","b","a","p","svar","epi","mod"
"1",0.01,0.01,0,0.01,0.9,1
"2",0.5,0.01,0,0.01,0.9,1
"3",0.01,0.5,0,0.01,0.9,1
"4",0.5,0.5,0,0.01,0.9,1
"5",0.01,0.01,0.2,0.01,0.9,1
"6",0.5,0.01,0.2,0.01,0.9,1
"7",0.01,0.5,0.2,0.01,0.9,1
"8",0.5,0.5,0.2,0.01,0.9,1
"9",0.01,0.01,0,0.1,0.9,1
"10",0.5,0.01,0,0.1,0.9,1
"11",0.01,0.5,0,0.1,0.9,1
"12",0.5,0.5,0,0.1,0.9,1
"13",0.01,0.01,0.2,0.1,0.9,1
"14",0.5,0.01,0.2,0.1,0.9,1
"15",0.01,0.5,0.2,0.1,0.9,1
"16",0.5,0.5,0.2,0.1,0.9,1
"17",0.01,0.01,0,0.01,1,1
"18",0.5,0.01,0,0.01,1,1
"19",0.01,0.5,0,0.01,1,1
"20",0.5,0.5,0,0.01,1,1
"21",0.01,0.01,0.2,0.01,1,1
"22",0.5,0.01,0.2,0.01,1,1
"23",0.01,0.5,0.2,0.01,1,1
"24",0.5,0.5,0.2,0.01,1,1
"25",0.01,0.01,0,0.1,1,1
"26",0.5,0.01,0,0.1,1,1
"27",0.01,0.5,0,0.1,1,1
"28",0.5,0.5,0,0.1,1,1
"29",0.01,0.01,0.2,0.1,1,1
"30",0.5,0.01,0.2,0.1,1,1
"31",0.01,0.5,0.2,0.1,1,1
"32",0.5,0.5,0.2,0.1,1,1
"33",0.01,0.01,0,0.01,1.1,1
"34",0.5,0.01,0,0.01,1.1,1
"35",0.01,0.5,0,0.01,1.1,1
"36",0.5,0.5,0,0.01,1.1,1
"37",0.01,0.01,0.2,0.01,1.1,1
"38",0.5,0.01,0.2,0.01,1.1,1
"39",0.01,0.5,0.2,0.01,1.1,1
"40",0.5,0.5,0.2,0.01,1.1,1
"41",0.01,0.01,0,0.1,1.1,1
"42",0.5,0.01,0,0.1,1.1,1
"43",0.01,0.5,0,0.1,1.1,1
"44",0.5,0.5,0,0.1,1.1,1
"45",0.01,0.01,0.2,0.1,1.1,1
"46",0.5,0.01,0.2,0.1,1.1,1
"47",0.01,0.5,0.2,0.1,1.1,1
"48",0.5,0.5,0.2,0.1,1.1,1
"49",0.01,0.01,0,0.01,0.9,2
"50",0.5,0.01,0,0.01,0.9,2
"51",0.01,0.5,0,0.01,0.9,2
"52",0.5,0.5,0,0.01,0.9,2
"53",0.01,0.01,0.2,0.01,0.9,2
"54",0.5,0.01,0.2,0.01,0.9,2
"55",0.01,0.5,0.2,0.01,0.9,2
"56",0.5,0.5,0.2,0.01,0.9,2
"57",0.01,0.01,0,0.1,0.9,2
"58",0.5,0.01,0,0.1,0.9,2
"59",0.01,0.5,0,0.1,0.9,2
"60",0.5,0.5,0,0.1,0.9,2
"61",0.01,0.01,0.2,0.1,0.9,2
"62",0.5,0.01,0.2,0.1,0.9,2
"63",0.01,0.5,0.2,0.1,0.9,2
"64",0.5,0.5,0.2,0.1,0.9,2
"65",0.01,0.01,0,0.01,1,2
"66",0.5,0.01,0,0.01,1,2
"67",0.01,0.5,0,0.01,1,2
"68",0.5,0.5,0,0.01,1,2
"69",0.01,0.01,0.2,0.01,1,2
"70",0.5,0.01,0.2,0.01,1,2
"71",0.01,0.5,0.2,0.01,1,2
"72",0.5,0.5,0.2,0.01,1,2
"73",0.01,0.01,0,0.1,1,2
"74",0.5,0.01,0,0.1,1,2
"75",0.01,0.5,0,0.1,1,2
"76",0.5,0.5,0,0.1,1,2
"77",0.01,0.01,0.2,0.1,1,2
"78",0.5,0.01,0.2,0.1,1,2
"79",0.01,0.5,0.2,0.1,1,2
"80",0.5,0.5,0.2,0.1,1,2
"81",0.01,0.01,0,0.01,1.1,2
"82",0.5,0.01,0,0.01,1.1,2
"83",0.01,0.5,0,0.01,1.1,2
"84",0.5,0.5,0,0.01,1.1,2
"85",0.01,0.01,0.2,0.01,1.1,2
"86",0.5,0.01,0.2,0.01,1.1,2
"87",0.01,0.5,0.2,0.01,1.1,2
"88",0.5,0.5,0.2,0.01,1.1,2
"89",0.01,0.01,0,0.1,1.1,2
"90",0.5,0.01,0,0.1,1.1,2
"91",0.01,0.5,0,0.1,1.1,2
"92",0.5,0.5,0,0.1,1.1,2
"93",0.01,0.01,0.2,0.1,1.1,2
"94",0.5,0.01,0.2,0.1,1.1,2
"95",0.01,0.5,0.2,0.1,1.1,2
"96",0.5,0.5,0.2,0.1,1.1,2
